method,dataset,stream_size,metric,mean,std
HourglassSketch,Lkml,40000,are,1.2942101999999998,0.7109665508943159
HourglassSketch,Lkml,80000,are,3.721716,0.9378288366775678
HourglassSketch,Lkml,200000,are,10.065338,2.9844072250575997
HourglassSketch,Lkml,400000,are,5.302706000000001,0.0959607125025655
HourglassSketch,Lkml,800000,are,13.54476,0.1694176803052148
HourglassSketch,NotreDame,200000,are,2.6621960000000002,0.011369433758987364
HourglassSketch,NotreDame,500000,are,9.472498,0.01078593046519399
HourglassSketch,NotreDame,1000000,are,29.90022,0.05113399651894978
HourglassSketch,NotreDame,1500000,are,55.435979999999994,0.04488930384846731
HourglassSketch,CAIDA2018,2000000,are,292.60839999999996,31.43519663434603
HourglassSketch,CAIDA2018,8000000,are,164.6332,1.8937939064217157
HourglassSketch,CAIDA2018,16000000,are,565.0296,7.228822825329175
HourglassSketch,CAIDA2018,27100000,are,1420.114,23.902684870114467
HourglassSketch,WiKiTalk,2000000,are,86.98828,0.6888962400826377
HourglassSketch,WiKiTalk,8000000,are,785.0756,7.968508332178596
HourglassSketch,WiKiTalk,16000000,are,2553.5159999999996,17.93313424920475
HourglassSketch,WiKiTalk,25000000,are,4485.428,28.15427598074584
HourglassSketch,StackOverflow,2000000,are,87.87931999999999,0.1533436063225341
HourglassSketch,StackOverflow,8000000,are,705.9422000000001,1.0292909015433969
HourglassSketch,StackOverflow,16000000,are,1962.182,1.4760406498468057
HourglassSketch,StackOverflow,63500000,are,7130.5779999999995,4.55684276665323
Mayfly,Lkml,20000,are,10.668,4.019181011101639
Mayfly,Lkml,40000,are,11.15,3.6402252677547313
Mayfly,Lkml,80000,are,18.846,8.543555700058377
Mayfly,Lkml,200000,are,18.672000000000004,9.123296334110826
Mayfly,Lkml,400000,are,29.842000000000002,16.289993738488665
Mayfly,Lkml,800000,are,52.78000000000001,29.38920345977414
Mayfly,NotreDame,200000,are,17.953999999999997,4.103684198375894
Mayfly,NotreDame,500000,are,19.648,3.390996313769745
Mayfly,NotreDame,1000000,are,33.791999999999994,11.292722258162556
Mayfly,NotreDame,1500000,are,45.2,13.806034912312802
Mayfly,CAIDA2018,2000000,are,65.636,23.250750181445756
Mayfly,CAIDA2018,8000000,are,175.99200000000002,60.545691638629414
Mayfly,CAIDA2018,16000000,are,302.044,111.50597124818026
Mayfly,CAIDA2018,27100000,are,442.87800000000004,162.41227778711806
Mayfly,WiKiTalk,2000000,are,180.658,101.5952733939921
Mayfly,WiKiTalk,8000000,are,454.22200000000004,234.39455534632202
Mayfly,WiKiTalk,16000000,are,723.256,321.7083761172531
Mayfly,WiKiTalk,25000000,are,955.732,384.2687840769791
Mayfly,StackOverflow,2000000,are,61.512,16.14629418783146
Mayfly,StackOverflow,8000000,are,130.402,35.7644937892318
Mayfly,StackOverflow,16000000,are,237.92600000000002,67.552681841656
Mayfly,StackOverflow,63500000,are,1006.912,308.46044488070106
Crane,Lkml,20000,aae,1.7507150650024415,0.3001471635890957
Crane,Lkml,40000,aae,2.050994849205017,0.38227991311468557
Crane,Lkml,80000,aae,2.841633129119873,0.22348821902133967
Crane,Lkml,200000,aae,2.981739854812622,0.21570975385238284
Crane,Lkml,400000,aae,3.2995017528533936,0.12039356538443138
Crane,Lkml,800000,aae,4.008137512207031,0.27806996467724693
Crane,NotreDame,200000,aae,0.6339789152145385,0.3797385754360884
Crane,NotreDame,500000,aae,0.9937530845403671,0.734638425558336
Crane,NotreDame,1000000,aae,1.8766715764999389,1.1159175390627423
Crane,NotreDame,1500000,aae,2.6296419858932496,1.1724111804012314
Crane,CAIDA2018,2000000,aae,15.826759529113769,0.7186148021894002
Crane,CAIDA2018,8000000,aae,32.2435905456543,4.28578813701587
Crane,CAIDA2018,16000000,aae,50.992025756835936,8.752211496119571
Crane,CAIDA2018,27100000,aae,75.39868087768555,15.014934722327789
Crane,WiKiTalk,2000000,aae,4.620623588562012,1.389015587906342
Crane,WiKiTalk,8000000,aae,17.615845680236816,5.387459130534815
Crane,WiKiTalk,16000000,aae,34.196466064453126,10.308236065772398
Crane,WiKiTalk,25000000,aae,53.19997024536133,15.708870373422148
Crane,StackOverflow,2000000,aae,4.086964225769043,1.7673878109103434
Crane,StackOverflow,8000000,aae,16.981228065490722,5.276529574080571
Crane,StackOverflow,16000000,aae,33.57402381896973,10.170950031203198
Crane,StackOverflow,63500000,aae,133.1418029785156,39.16566456549109
TCM,Lkml,20000,aae,2.4224,0.0
TCM,Lkml,40000,aae,5.08802,0.0
TCM,Lkml,80000,aae,10.7396,0.0
TCM,Lkml,200000,aae,28.519600000000004,3.552713678800501e-15
TCM,Lkml,400000,aae,57.4744,0.0
TCM,Lkml,800000,aae,113.838,0.0
TCM,NotreDame,200000,aae,38.0078,0.0
TCM,NotreDame,500000,aae,96.2292,0.0
TCM,NotreDame,1000000,aae,194.561,0.0
TCM,NotreDame,1500000,aae,292.017,0.0
TCM,CAIDA2018,2000000,aae,134.28,0.0
TCM,CAIDA2018,8000000,aae,596.093,0.0
TCM,CAIDA2018,16000000,aae,1277.87,0.0
TCM,CAIDA2018,27100000,aae,2267.51,0.0
TCM,WiKiTalk,2000000,aae,366.386,0.0
TCM,WiKiTalk,8000000,aae,1787.0,0.0
TCM,WiKiTalk,16000000,aae,3941.3900000000003,4.547473508864641e-13
TCM,WiKiTalk,25000000,aae,6624.710000000001,9.094947017729282e-13
TCM,StackOverflow,2000000,aae,403.705,0.0
TCM,StackOverflow,8000000,aae,1675.33,0.0
TCM,StackOverflow,16000000,aae,3469.7399999999993,4.547473508864641e-13
TCM,StackOverflow,63500000,aae,17830.7,0.0
GSS,Lkml,20000,aae,8.743867999999999,0.6827253321622095
GSS,Lkml,40000,aae,16.36834,1.3903966291673748
GSS,Lkml,80000,aae,48.23716,28.018298271065646
GSS,Lkml,200000,aae,70.75124,4.6962722726009
GSS,Lkml,400000,aae,205.334,131.56733620013748
GSS,Lkml,800000,aae,401.1726,262.8448052913354
GSS,NotreDame,200000,aae,84.87452,60.24592924430331
GSS,NotreDame,500000,aae,204.36100000000002,150.90468082866084
GSS,NotreDame,1000000,aae,404.24719999999996,299.8965203968862
GSS,NotreDame,1500000,aae,602.6425999999999,446.98381954858274
GSS,CAIDA2018,2000000,aae,1099.591,721.2080696098734
GSS,CAIDA2018,8000000,aae,4378.2339999999995,2901.88051220997
GSS,CAIDA2018,16000000,aae,8702.808,5778.902603032517
GSS,CAIDA2018,27100000,aae,14715.344000000001,9780.202604285047
GSS,WiKiTalk,2000000,aae,696.9734000000001,4.625342910531068
GSS,WiKiTalk,8000000,aae,3071.69,35.07014513799453
GSS,WiKiTalk,16000000,aae,6557.2300000000005,96.50367992983473
GSS,WiKiTalk,25000000,aae,10744.7,132.12200422336912
GSS,StackOverflow,2000000,aae,828.8210000000001,601.265189270425
GSS,StackOverflow,8000000,aae,3310.232,2403.8044546543297
GSS,StackOverflow,16000000,aae,6755.496000000001,4851.152254665277
GSS,StackOverflow,63500000,aae,35581.62,22106.44102748337
Auxo,Lkml,20000,aae,4.0342986,0.04151307073489016
Auxo,Lkml,40000,aae,8.8753844,0.02758962685213389
Auxo,Lkml,80000,aae,17.1152984,0.08103720973133323
Auxo,Lkml,200000,aae,47.293064799999996,0.09577016823917502
Auxo,Lkml,400000,aae,94.83159779999998,0.11042201521870709
Auxo,Lkml,800000,aae,191.02511020000003,0.14928772028723358
Auxo,NotreDame,200000,aae,48.98050400000001,0.016934301993290796
Auxo,NotreDame,500000,aae,122.96901439999999,0.022871802251682106
Auxo,NotreDame,1000000,aae,244.9828892,0.010645927341477707
Auxo,NotreDame,1500000,aae,365.96494160000003,0.02403433223205104
Auxo,CAIDA2018,2000000,aae,435.53962620000004,1.5288072502452819
Auxo,CAIDA2018,8000000,aae,1771.5967278,1.1357566039695577
Auxo,CAIDA2018,16000000,aae,3648.3682652,2.988734743478081
Auxo,CAIDA2018,27100000,aae,6314.8542448,2.8820155979173334
Auxo,WiKiTalk,2000000,aae,478.80182240000005,0.1972746209370003
Auxo,WiKiTalk,8000000,aae,1952.9559262000002,0.8203914816720803
Auxo,WiKiTalk,16000000,aae,3906.0610262,0.528000571599027
Auxo,WiKiTalk,25000000,aae,6098.556354800001,0.49738934070133156
Auxo,StackOverflow,2000000,aae,489.07006579999995,0.018165435424455062
Auxo,StackOverflow,8000000,aae,1953.1211808,0.03738209891593446
Auxo,StackOverflow,16000000,aae,3906.2497522,0.010279040702366462
Auxo,StackOverflow,63500000,aae,15502.066363199998,0.2100466280875807
HourglassSketch,Lkml,20000,aae,13.545158,18.694605561972576
HourglassSketch,Lkml,40000,aae,6.71391,6.226722072217452
HourglassSketch,Lkml,80000,aae,14.73082,4.725671655288801
HourglassSketch,Lkml,200000,aae,20.06096,3.8135325044373225
HourglassSketch,Lkml,400000,aae,9.11849,0.2016827153724381
HourglassSketch,Lkml,800000,aae,23.707140000000003,0.3122356840593326
HourglassSketch,NotreDame,200000,aae,2.6621960000000002,0.011369433758987364
HourglassSketch,NotreDame,500000,aae,9.472498,0.01078593046519399
HourglassSketch,NotreDame,1000000,aae,29.90022,0.05113399651894978
