method,train_alpha,test_alpha,mean,std,over_diagonal
Crane,0.0,0.0,0.4900769743323326,0.0259451870852064,1.0
Crane,0.0,0.3,0.5329082658886909,0.0390739316574441,1.087397069847467
Crane,0.0,0.6,0.7168573117256164,0.1104311109733486,1.4627443223633247
Crane,0.0,0.9,1.7725953900814055,0.3458931441977187,3.616973420341449
Crane,0.0,1.2,7.130163259506224,1.3346758752873014,14.549068070827367
Crane,0.0,1.5,11.595620081424713,2.1603350670668124,23.66081388994508
Crane,0.3,0.0,0.5003320273756982,0.0227414367222543,0.9252046301993267
Crane,0.3,0.3,0.5407798567414284,0.0340426819416655,1.0
Crane,0.3,0.6,0.7344710510969162,0.1126215967935912,1.3581701351130402
Crane,0.3,0.9,1.803512523770332,0.3613155179563175,3.3350216382646702
Crane,0.3,1.2,7.213438458442688,1.420521553970919,13.33895552602242
Crane,0.3,1.5,11.689821830391883,2.382921734934029,21.616599961454043
Crane,0.6,0.0,0.5052906015515328,0.0090839259042329,0.8748111617141388
Crane,0.6,0.3,0.5143886178731918,0.0059645580017115,0.8905625851587978
Crane,0.6,0.6,0.5775996279716492,0.0054941646730559,1.0
Crane,0.6,0.9,1.228627028465271,0.0534683737032773,2.1271257268288557
Crane,0.6,1.2,5.088974996209144,0.2468095891865847,8.810557953577716
Crane,0.6,1.5,8.266748428344727,0.4877934441687146,14.312246802123097
Crane,0.9,0.0,0.766217264533043,0.0649382330343221,1.208770448715945
Crane,0.9,0.3,0.7395175755023956,0.0694418723636928,1.166649503934284
Crane,0.9,0.6,0.6638137054443358,0.0740730299823674,1.0472204526515738
Crane,0.9,0.9,0.6338815325498581,0.0765418204741633,1.0
Crane,0.9,1.2,1.999217232465744,0.5866105517038384,3.1539288176193945
Crane,0.9,1.5,3.3298162552714343,1.0101695336101857,5.253057683944321
Crane,1.2,0.0,0.9541462230682374,0.0129287013969101,1.6145261858156013
Crane,1.2,0.3,0.9499094378948212,0.0128036638295594,1.607357053411388
Crane,1.2,0.6,0.9324880027770996,0.0210959783730726,1.5778779625634467
Crane,1.2,0.9,0.8436870205402375,0.0391065663217787,1.4276163908239268
Crane,1.2,1.2,0.5909759974479675,0.0319798500722581,1.0
Crane,1.2,1.5,0.5609147828817368,0.1141378922251058,0.9491329348466856
Crane,1.5,0.0,0.9609013700485228,0.0354191386592867,1.3165862063536442
Crane,1.5,0.3,0.957237776517868,0.0397992556331485,1.311566506248624
Crane,1.5,0.6,0.942137849330902,0.0538922533555505,1.2908772279616132
Crane,1.5,0.9,0.8700893408060073,0.1168542118269456,1.192159424585561
Crane,1.5,1.2,0.7317347937822343,0.1499433694988069,1.0025919061329565
Crane,1.5,1.5,0.7298431089520454,0.3740247998956603,1.0
Mayfly,0.0,0.0,4.298879781477153,0.6744374473266838,1.0
Mayfly,0.0,0.3,4.768863683044911,0.7462465236936192,1.1093270632020944
Mayfly,0.0,0.6,7.299513202905655,1.295425268843269,1.6980035669658675
Mayfly,0.0,0.9,56.949449996948246,36.81909530843762,13.24750932611092
Mayfly,0.0,1.2,847.2420176219941,713.2232242499703,197.0843709732377
Mayfly,0.0,1.5,2437.960620212555,2141.6603720530297,567.1153286763556
Mayfly,0.3,0.0,4.191956819742918,0.2702295284483534,0.9003141662614379
Mayfly,0.3,0.3,4.656104476451874,0.3043374143859685,1.0
Mayfly,0.3,0.6,7.186787067651748,0.5733170321388452,1.5435192882803068
Mayfly,0.3,0.9,35.90480483055115,4.042695328140074,7.711340029447095
Mayfly,0.3,1.2,333.5194126033783,58.7895904085126,71.630568920896
Mayfly,0.3,1.5,799.5028430175782,166.76431383939018,171.71067510642058
Mayfly,0.6,0.0,3.3863511487841604,0.3037520659466497,0.5951825697942468
Mayfly,0.6,0.3,3.770628960430622,0.3329563673127405,0.6627229533521566
Mayfly,0.6,0.6,5.689600671529769,0.4788980294987167,1.0
Mayfly,0.6,0.9,15.734593538045884,1.6412528467681922,2.765500506350177
Mayfly,0.6,1.2,121.960751183033,48.80564029682511,21.435731297156444
Mayfly,0.6,1.5,344.2530820274353,184.66005015572824,60.50566672456392
Mayfly,0.9,0.0,1.77385816514492,1.0018456365812147,0.2395895947484998
Mayfly,0.9,0.3,1.9889862620830536,1.1109257397523091,0.2686462885570561
Mayfly,0.9,0.6,3.05512821495533,1.6263320174330902,0.4126468199705552
Mayfly,0.9,0.9,7.403736239075661,3.741158375194651,1.0
Mayfly,0.9,1.2,32.730912708044045,13.20540048926058,4.420864230048587
Mayfly,0.9,1.5,110.2672256040573,42.32092425173052,14.893456768771102
Mayfly,1.2,0.0,1.3871584713459015,0.7322850737191026,0.133377905764668
Mayfly,1.2,0.3,1.4737466037273408,0.8142027537916154,0.1417035181584018
Mayfly,1.2,0.6,1.976383423805237,1.2026844916805617,0.1900329973109569
Mayfly,1.2,0.9,4.17808474779129,2.4939952866837545,0.4017307360903138
Mayfly,1.2,1.2,10.400211814641953,7.250191888244571,1.0
Mayfly,1.2,1.5,21.46288455605507,24.848839970786845,2.0636968687347808
Mayfly,1.5,0.0,2.4958424484729766,1.9685705409448508,0.0195593944326662
Mayfly,1.5,0.3,2.644207570552826,2.1546158922394363,0.0207221008144677
Mayfly,1.5,0.6,3.363502252101898,3.034640479660054,0.0263590625539177
Mayfly,1.5,0.9,7.224365745782852,8.32210499817702,0.0566158409694746
Mayfly,1.5,1.2,43.751869429349895,77.97484255145437,0.342874235454544
Mayfly,1.5,1.5,127.60325771152972,254.5226199417513,1.0
