param,value,dataset,mean,std
carry_threshold,2,Lkml,0.8668045540650686,0.08572504835102167
carry_threshold,2,NotreDame,3.1219990476965904,0.5969432339535149
carry_threshold,2,CAIDA2018,33.02318346500397,4.695267612446671
carry_threshold,2,WiKiTalk,48.106740617752074,6.806258553634543
carry_threshold,2,StackOverflow,93.31026229858398,14.148595916936275
carry_threshold,4,Lkml,0.7223918497562408,0.021874936131682045
carry_threshold,4,NotreDame,1.5335113905370235,0.802132439412201
carry_threshold,4,CAIDA2018,14.404835349321365,4.7929338077718935
carry_threshold,4,WiKiTalk,21.69413330554962,7.409536906116414
carry_threshold,4,StackOverflow,42.20313209295273,14.148969622001752
carry_threshold,8,Lkml,1.101217833161354,0.2704774004359345
carry_threshold,8,NotreDame,2.7249007642269136,0.9734030853930645
carry_threshold,8,CAIDA2018,14.072776079177856,0.7548736048835479
carry_threshold,8,WiKiTalk,21.580965864658356,1.4270978319989214
carry_threshold,8,StackOverflow,40.48866512775421,2.8901479612845615
carry_threshold,16,Lkml,2.3326414187749225,0.08554998182318307
carry_threshold,16,NotreDame,4.433651977777481,0.7098832856318452
carry_threshold,16,CAIDA2018,11.870587885379791,1.2027653279874788
carry_threshold,16,WiKiTalk,18.712555003166198,1.9336419145971184
carry_threshold,16,StackOverflow,31.80203721523285,2.6136208898308824
carry_threshold,32,Lkml,3.0807246446609495,0.13130754069064215
carry_threshold,32,NotreDame,6.4697900176048275,0.8992321939997772
carry_threshold,32,CAIDA2018,12.582495284080505,1.8070758228203192
carry_threshold,32,WiKiTalk,19.84338572025299,1.5320498836468348
carry_threshold,32,StackOverflow,33.48014662265778,5.148398242942955
mini_batch,1,Lkml,0.6734403332074483,0.040803447084681005
mini_batch,1,NotreDame,1.0669063098728657,0.372669501189853
mini_batch,1,CAIDA2018,13.072064560651778,3.227043080578217
mini_batch,1,WiKiTalk,19.43602522611618,5.223510434532507
mini_batch,1,StackOverflow,39.23783060312271,10.692238742278931
mini_batch,2,Lkml,0.665764315923055,0.07999470872453723
mini_batch,2,NotreDame,1.1607209261506797,0.4085058257915636
mini_batch,2,CAIDA2018,13.512527215480805,2.8794223336054974
mini_batch,2,WiKiTalk,20.411709213256835,4.730430527002917
mini_batch,2,StackOverflow,39.97988901138306,9.097364476042566
mini_batch,4,Lkml,0.7223918497562408,0.021874936131682045
mini_batch,4,NotreDame,1.5335113905370235,0.802132439412201
mini_batch,4,CAIDA2018,14.404835349321365,4.7929338077718935
mini_batch,4,WiKiTalk,21.69413330554962,7.409536906116414
mini_batch,4,StackOverflow,42.20313209295273,14.148969622001752
mini_batch,8,Lkml,0.857675364613533,0.09170082069235633
mini_batch,8,NotreDame,1.8146903119981288,0.947929016634439
mini_batch,8,CAIDA2018,15.238850033283233,4.82082497830741
mini_batch,8,WiKiTalk,22.888400155305863,7.439988574693662
mini_batch,8,StackOverflow,44.72788784503937,14.368158468539875
mini_batch,16,Lkml,1.2002799014250438,0.32463904577513114
mini_batch,16,NotreDame,3.6518042504787447,1.4548212839550883
mini_batch,16,CAIDA2018,18.242320919036864,0.623793405019191
mini_batch,16,WiKiTalk,27.723069405555727,1.3838697181229191
mini_batch,16,StackOverflow,52.112388944625856,0.9813942044764717
