method,budget_mb,are_mean,are_std,aae_mean,aae_std
Crane,1.0,137.75632934570314,46.1061490458655,148.5388214111328,48.19900603995207
Crane,2.0,68.3738166809082,23.07980950816284,76.1083755493164,24.07383075687639
Crane,5.0,26.825885009765624,9.354938371831013,32.86709709167481,9.711605206460755
Crane,10.0,12.993323707580567,4.739842401198289,18.55195732116699,4.88704833751617
Crane,30.0,3.802908420562744,1.6689749015998798,9.13562536239624,1.6939334807146496
Crane,100.0,0.7469394683837891,0.4309275276991073,6.07884635925293,0.41383172613565844
Mayfly,1.0,2996.585461044467,715.4947512495386,3091.9734860946423,729.9543618491622
Mayfly,2.0,1515.8191404346376,374.6421357833087,1563.7699024359288,382.5507196190887
Mayfly,5.0,612.020766339905,156.49179040698078,631.6272504505821,159.89041968720935
Mayfly,10.0,315.49465914707787,86.2397083752627,325.78581753891365,88.2367805275696
Mayfly,30.0,113.72014230388791,31.170363405318213,117.65749172433559,31.920806928610673
Mayfly,100.0,41.342281775127795,9.392628037221407,42.91300692473822,9.645823197378345
HourglassSketch,1.0,16207.400643263038,470.2961347989932,16656.883109632276,478.95967075997294
HourglassSketch,2.0,7383.00157030611,204.88784798820538,7560.434195883943,207.95666236444424
HourglassSketch,5.0,2487.660591352713,75.31312426381295,2532.447602916904,76.34114931164675
HourglassSketch,10.0,1052.4327334148709,40.19965446931554,1069.5541575699692,40.73480906809621
HourglassSketch,30.0,230.92135583389867,16.598244565967406,234.39741366834446,16.839804187333765
HourglassSketch,100.0,48.07912889224198,2.458549640176444,48.77372875479697,2.4943694050971312
